得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
103.69,127003,海印转债,106.800,-4.74%,海印股份,3.34,6.03%,2.11,3.030,110.23,-3.11%,AA,2.12,3.94,15.2%,22-06-08,2.989,2.03%,1.20%,93584.14
104.84,128060,中装转债,105.680,1.43%,中装建设,6.65,2.94%,1.81,6.240,106.57,-0.84%,AA,4.37,8.11,13.2%,25-03-26,5.789,1.23%,0.81%,1794.76
106.32,128062,亚药转债,100.020,0.30%,亚太药业,15.29,3.38%,3.19,16.250,94.09,6.30%,AA,11.38,21.12,11.8%,25-04-02,5.808,3.26%,2.63%,889.28
106.39,123018,溢利转债,107.710,0.00%,溢多利,9.18,-0.54%,1.76,8.410,109.16,-1.32%,AA-,5.89,10.93,17.8%,24-12-20,5.526,1.26%,0.76%,42.03
106.61999999999999,128057,博彦转债,105.770,1.45%,博彦科技,9.24,3.24%,1.90,8.810,104.88,0.85%,AA-,6.17,11.45,11.9%,25-03-05,5.732,1.91%,1.35%,808.19
107.19,113527,维格转债,97.050,-1.10%,维格娜丝,9.27,0.11%,0.91,10.520,88.12,10.14%,AA,7.36,13.68,31.9%,25-01-23,5.619,4.04%,3.37%,3024.11
107.49000000000001,113025,明泰转债,97.930,-0.15%,明泰铝业,10.27,0.59%,1.00,11.490,89.38,9.56%,AA,8.04,14.94,30.4%,25-04-09,5.827,2.93%,2.43%,2988.58
107.763,128053,尚荣转债,105.333,0.29%,尚荣医疗,5.08,0.99%,1.52,4.940,102.83,2.43%,AA,3.46,6.42,20.9%,25-02-14,5.679,1.64%,1.14%,443.44
107.84,113535,大业转债,98.890,-1.27%,大业股份,11.40,-5.08%,2.17,12.560,90.76,8.95%,AA,8.79,16.33,15.1%,24-05-08,4.907,2.88%,2.37%,1290.63
108.00300000000001,128066,亚泰转债,99.793,2.56%,亚泰国际,16.13,10.03%,2.05,17.490,92.22,8.21%,AA-,12.24,22.74,16.5%,25-04-17,5.849,2.97%,2.41%,4826.45
108.182,123014,凯发转债,103.122,-1.98%,凯发电气,8.00,-0.74%,2.07,8.150,98.16,5.06%,A+,5.71,10.60,14.0%,23-07-27,4.123,1.49%,1.05%,2023.83
108.498,128049,华源转债,102.988,0.24%,华源控股,7.34,0.96%,1.53,7.520,97.61,5.51%,AA-,5.26,9.78,17.5%,24-11-27,5.463,2.20%,1.67%,116.60
108.51,113505,杭电转债,104.110,-0.11%,杭电股份,7.27,-0.82%,2.22,7.290,99.73,4.40%,AA,5.10,9.48,15.5%,24-03-05,4.732,1.74%,1.24%,3606.07
108.60000000000001,113514,威帝转债,99.930,-0.12%,威帝股份,4.46,1.83%,2.42,4.850,91.96,8.67%,A+,3.40,6.30,10.4%,23-07-20,4.104,2.75%,2.21%,421.11
109.30000000000001,113521,科森转债,99.340,-0.39%,科森科技,7.86,0.00%,1.73,8.700,90.34,9.96%,AA,6.09,11.31,18.8%,24-11-16,5.433,2.91%,2.37%,126.12
109.302,123023,迪森转债,98.402,0.42%,迪森股份,6.38,1.75%,1.47,7.190,88.73,10.90%,AA,5.03,9.35,25.9%,25-03-20,5.773,2.84%,2.34%,182.43
109.772,128034,江银转债,104.772,-0.41%,江阴银行,4.67,0.00%,0.92,4.680,99.79,5.00%,AA+,-,6.08,17.3%,24-01-26,4.625,0.99%,0.60%,736.96
109.882,127007,湖广转债,109.202,-0.59%,湖北广电,8.59,-0.46%,0.87,7.920,108.46,0.68%,AA+,5.54,10.30,22.6%,24-06-28,5.047,0.81%,0.31%,733.17
109.93,110052,贵广转债,113.010,-0.52%,贵广网络,9.48,0.96%,2.11,8.130,116.61,-3.08%,AA+,5.69,10.57,16.2%,25-03-05,5.732,0.93%,0.34%,2950.01
109.99000000000001,113526,联泰转债,112.590,1.90%,联泰环保,10.08,3.38%,2.55,8.720,115.60,-2.60%,AA,6.10,11.34,13.0%,25-01-22,5.616,-0.24%,-0.60%,331.05
110.01,128063,未来转债,104.700,-0.12%,德尔未来,8.63,0.23%,3.42,8.680,99.42,5.31%,AA-,6.08,11.28,10.9%,25-04-03,5.811,3.71%,2.87%,773.62
110.19,128039,三力转债,109.500,0.46%,三力士,6.34,0.32%,2.23,5.830,108.75,0.69%,AA-,4.08,7.58,6.2%,24-06-07,4.989,0.15%,-0.23%,2684.05
110.285,128048,张行转债,102.685,-0.35%,张家港行,5.64,0.18%,1.00,5.910,95.43,7.60%,AA+,-,7.68,24.5%,24-11-12,5.422,2.04%,1.55%,4656.51
110.36,123019,中来转债,101.000,0.58%,中来股份,18.85,9.98%,1.66,20.410,92.36,9.36%,AA-,14.29,26.53,22.2%,25-02-25,5.710,3.88%,3.11%,4246.14
110.542,128056,今飞转债,98.142,-0.04%,今飞凯达,5.92,0.68%,2.10,6.780,87.32,12.40%,A+,4.75,8.81,16.5%,25-02-28,5.718,3.91%,3.23%,63.37
110.57600000000001,123012,万顺转债,104.796,1.09%,万顺新材,5.31,1.34%,1.12,5.360,99.07,5.78%,AA-,3.75,6.97,4.8%,24-07-20,5.107,1.21%,0.80%,34.93
110.75,128025,特一转债,106.490,0.01%,特一药业,15.78,0.19%,3.10,15.450,102.14,4.26%,AA-,10.81,20.09,10.7%,23-12-06,4.485,0.80%,0.37%,47.25
111.28,113516,苏农转债,104.130,-0.40%,苏农银行,5.51,0.00%,0.81,5.670,97.18,7.15%,AA+,-,7.37,13.0%,24-08-01,5.140,2.10%,1.54%,841.90
111.32,113523,伟明转债,113.240,1.09%,伟明环保,20.17,0.80%,5.65,17.470,115.46,-1.92%,AA,12.23,22.71,3.6%,24-12-10,5.499,0.34%,-0.16%,685.92
112.279,123015,蓝盾转债,107.399,2.29%,蓝盾股份,5.96,4.56%,1.57,5.820,102.41,4.88%,AA,4.07,7.57,1.4%,24-08-13,5.173,1.06%,0.59%,385.68
112.5,110047,山鹰转债,106.880,-0.34%,山鹰纸业,3.38,-0.29%,1.14,3.340,101.20,5.62%,AA+,2.34,4.34,14.8%,24-11-21,5.447,1.95%,1.34%,203.34
112.61,113519,长久转债,103.730,0.27%,长久物流,11.29,-0.09%,2.35,11.850,95.27,8.88%,AA,8.29,15.40,11.0%,24-11-07,5.408,2.89%,2.21%,421.45
112.64200000000001,123020,富祥转债,104.912,0.11%,富祥股份,14.54,1.75%,3.21,14.930,97.39,7.73%,AA-,10.45,19.41,10.8%,25-03-01,5.721,2.60%,1.94%,199.88
112.94,113020,桐昆转债,109.490,-0.22%,桐昆股份,13.24,0.99%,1.45,12.510,105.84,3.45%,AA+,8.76,16.26,15.8%,24-11-19,5.441,0.61%,0.17%,1464.05
112.967,128026,众兴转债,95.487,-0.01%,众兴菌业,9.38,-2.49%,1.28,11.540,81.28,17.48%,AA-,8.08,15.00,26.7%,23-12-13,4.504,3.45%,2.98%,1370.72
113.129,128064,司尔转债,96.619,0.18%,司尔特,5.10,1.39%,1.03,6.150,82.93,16.51%,AA,4.30,8.00,21.8%,25-04-08,5.825,3.14%,2.65%,366.78
113.33,113503,泰晶转债,103.030,-0.89%,泰晶科技,16.72,-2.79%,4.21,17.900,93.41,10.30%,AA,12.53,23.27,8.1%,23-12-15,4.510,2.09%,1.55%,1650.67
113.64999999999999,113528,长城转债,98.070,0.44%,长城科技,20.39,1.14%,1.99,24.030,84.85,15.58%,AA-,16.82,31.24,17.4%,25-03-01,5.721,3.38%,2.79%,114.19
113.652,128065,雅化转债,94.632,0.00%,雅化集团,7.14,-0.56%,2.63,8.980,79.51,19.02%,AA,6.29,11.67,11.7%,25-04-16,5.847,2.87%,2.49%,1097.82
113.72,113017,吉视转债,98.700,-0.46%,吉视传媒,2.54,0.79%,1.13,2.960,85.81,15.02%,AA+,2.07,3.85,19.7%,23-12-27,4.542,2.52%,2.08%,1166.11
113.84,128055,长青转2,109.800,0.72%,长青股份,7.82,-0.89%,1.23,7.410,105.53,4.04%,AA,5.19,9.63,21.7%,25-02-27,5.715,0.91%,0.42%,999.83
113.98,110046,圆通转债,114.150,-0.79%,圆通速递,12.28,-0.73%,2.93,10.740,114.34,-0.17%,AA+,7.52,13.96,10.5%,24-11-19,5.441,0.24%,-0.28%,8810.50
114.032,128054,中宠转债,102.432,-0.45%,中宠股份,20.45,-0.49%,4.33,22.280,91.79,11.60%,A+,15.60,28.96,5.6%,25-02-15,5.682,2.19%,1.69%,237.12
114.051,128050,钧达转债,99.631,-0.06%,钧达股份,18.93,-0.42%,2.59,21.740,87.07,14.42%,AA-,15.22,28.26,13.9%,24-12-10,5.499,4.17%,3.39%,111.34
114.14899999999999,128027,崇达转债,107.689,-0.14%,崇达技术,14.92,-0.53%,4.10,14.750,101.15,6.46%,AA,10.32,19.18,6.1%,23-12-15,4.510,0.65%,0.20%,1562.27
114.34,128044,岭南转债,99.090,0.40%,岭南股份,5.09,1.60%,1.72,5.920,85.98,15.25%,AA,4.14,7.70,8.4%,24-08-14,5.175,2.46%,2.02%,458.95
114.542,123013,横河转债,104.962,-0.42%,横河模具,8.87,0.68%,4.01,9.260,95.79,9.58%,A+,6.48,12.04,2.0%,24-07-26,5.123,2.11%,1.52%,35.64
114.56,128033,迪龙转债,99.000,0.08%,雪迪龙,7.65,0.92%,2.20,8.930,85.67,15.56%,AA,6.25,11.61,11.2%,23-12-27,4.542,2.46%,2.02%,26.82
114.87,123001,蓝标转债,105.920,-0.06%,蓝色光标,4.19,0.96%,1.33,4.310,97.22,8.95%,AA,3.02,5.60,1.8%,21-12-18,2.518,2.02%,1.18%,206.43
114.92,113511,千禾转债,112.840,3.62%,千禾味业,20.24,6.53%,6.80,18.310,110.54,2.08%,AA-,12.82,23.80,3.8%,24-06-19,5.022,0.05%,-0.43%,3449.17
114.92999999999999,127012,招路转债,100.740,-0.12%,招商公路,8.24,0.12%,1.07,9.340,88.22,14.19%,AAA,6.54,12.14,9.8%,25-03-21,5.775,1.27%,1.00%,2331.32
115.1,110058,永鼎转债,94.570,-0.38%,永鼎股份,5.10,-0.20%,2.34,6.500,78.46,20.53%,AA,4.55,8.45,15.3%,25-04-15,5.844,3.52%,3.02%,890.49
115.17,110041,蒙电转债,109.750,-0.46%,内蒙华电,3.04,-1.30%,1.28,2.920,104.11,5.42%,AAA,2.04,3.80,10.6%,23-12-21,4.526,0.23%,-0.21%,105.03
115.21900000000001,123007,道氏转债,100.799,-0.28%,道氏技术,13.39,1.90%,2.58,15.200,88.09,14.42%,AA-,10.64,19.76,4.9%,23-12-28,4.545,2.40%,1.89%,519.76
115.507,128038,利欧转债,116.397,1.61%,利欧股份,2.02,2.54%,1.72,1.720,117.44,-0.89%,AA,1.20,2.24,1.4%,24-03-22,4.778,-0.48%,-1.00%,3231.48
115.51,113515,高能转债,109.180,-1.02%,高能环境,9.58,-0.73%,2.34,9.330,102.68,6.33%,AA,6.53,12.13,11.6%,24-07-26,5.123,0.74%,0.26%,442.01
115.599,123011,德尔转债,96.129,-0.34%,德尔股份,28.13,1.04%,1.52,34.960,80.46,19.47%,AA-,24.47,45.45,18.8%,24-07-18,5.101,4.13%,3.48%,145.31
115.622,128058,拓邦转债,107.322,0.08%,拓邦股份,5.49,1.48%,2.41,5.540,99.10,8.30%,AA,3.88,7.20,10.2%,25-03-07,5.737,2.46%,1.76%,242.00
115.7,113534,鼎胜转债,95.900,0.04%,鼎胜新材,16.65,0.06%,2.08,20.800,80.05,19.80%,AA,14.56,27.04,17.5%,25-04-08,5.825,3.28%,2.78%,662.90
116.12,110051,中天转债,103.290,-0.44%,中天科技,9.42,-1.67%,1.43,10.290,91.55,12.83%,AA+,7.20,13.38,13.7%,25-02-28,5.718,1.82%,1.36%,830.53
116.27000000000001,113524,奇精转债,97.400,-0.52%,奇精机械,11.93,0.17%,2.18,14.560,81.94,18.87%,AA,10.19,18.93,14.3%,24-12-14,5.510,3.67%,3.05%,93.00
116.73,113533,参林转债,114.420,-0.40%,大参林,40.82,-0.49%,6.58,36.500,111.84,2.31%,AA,25.55,47.45,4.7%,25-04-02,5.808,-0.19%,-0.60%,487.78
117.08,128067,一心转债,108.100,-0.83%,一心堂,27.06,-0.33%,3.79,27.280,99.19,8.98%,AA,19.10,35.46,3.9%,25-04-19,5.855,0.81%,0.39%,467.51
117.24000000000001,123004,铁汉转债,99.150,-0.25%,铁汉生态,3.35,-0.59%,1.24,3.990,83.96,18.09%,AA,2.79,5.19,10.6%,23-12-18,4.518,2.43%,1.99%,416.96
117.27,110043,无锡转债,100.580,-0.60%,无锡银行,5.62,0.00%,0.94,6.520,86.20,16.69%,AA+,-,8.48,28.9%,24-01-30,4.636,1.94%,1.53%,614.63
117.35000000000001,113525,台华转债,105.430,-0.26%,台华新材,7.64,-0.78%,2.23,8.110,94.20,11.92%,AA,5.68,10.54,9.1%,24-12-16,5.515,1.67%,1.16%,4.98
117.39999999999999,110050,佳都转债,122.210,-0.06%,佳都科技,10.13,0.50%,3.84,7.890,128.39,-4.81%,AA,5.52,10.26,5.3%,24-12-18,5.521,-1.23%,-1.68%,3833.28
117.5,113532,海环转债,99.850,-0.14%,海峡环保,6.62,0.46%,1.92,7.800,84.87,17.65%,AA,5.46,10.14,15.4%,25-04-01,5.805,2.24%,1.81%,20.65
118.02999999999999,113520,百合转债,117.820,0.79%,梦百合,16.79,0.18%,2.77,14.280,117.58,0.21%,AA-,10.00,18.56,8.0%,24-11-08,5.411,-0.34%,-0.85%,229.61
118.34,113529,绝味转债,122.590,-0.55%,绝味食品,36.50,2.59%,6.32,28.510,128.03,-4.25%,AA,19.96,37.06,4.8%,25-03-11,5.748,-0.63%,-1.18%,5719.72
118.47,123021,万信转2,101.780,-0.53%,万达信息,11.88,0.93%,3.33,13.620,87.22,16.69%,AA,9.53,17.71,9.2%,25-03-03,5.726,2.71%,2.13%,321.48
119.01,113008,电气转债,111.780,-0.06%,上海电气,5.41,0.93%,1.40,5.190,104.24,7.23%,AAA,3.63,6.75,5.5%,21-02-02,1.644,-2.03%,-2.93%,2300.99
119.039,128015,久其转债,93.799,0.05%,久其软件,7.10,1.43%,4.73,9.480,74.89,25.24%,AA,6.64,12.32,15.4%,23-06-08,3.989,4.58%,4.00%,1326.08
119.16999999999999,110049,海尔转债,115.600,-0.79%,青岛海尔,16.24,-0.43%,2.52,14.550,111.62,3.57%,AAA,10.19,17.46,2.9%,24-12-17,5.518,-0.91%,-1.24%,2604.67
119.22,127013,创维转债,97.620,0.00%,创维数字,9.28,0.76%,3.17,11.560,80.28,21.60%,AA,8.09,15.03,10.4%,25-04-15,5.844,3.41%,2.83%,683.50
119.23,128019,久立转2,105.000,0.00%,久立特材,7.28,1.82%,1.89,7.920,91.92,14.23%,AA,5.54,10.30,17.0%,23-11-08,4.408,1.15%,0.70%,168.06
119.27000000000001,123024,岱勒转债,97.290,0.40%,岱勒新材,19.86,-0.40%,2.85,24.900,79.76,21.98%,A+,17.43,32.37,12.8%,24-03-21,4.775,3.30%,2.77%,87.41
119.41,110042,航电转债,110.050,0.14%,中航电子,14.32,0.21%,3.33,14.230,100.63,9.36%,AAA,9.96,18.50,9.5%,23-12-24,4.534,-0.05%,-0.45%,639.91
