得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
131.57,123017,寒锐转债,97.500,-0.84%,寒锐钴业,59.26,-1.50%,6.28,81.490,72.72,34.07%,AA-,57.04,105.94,3.9%,24-11-20,5.463,2.47%,2.07%,110.01
131.87,113530,大丰转债,96.110,-1.22%,大丰实业,11.95,-4.63%,2.71,16.880,70.79,35.76%,AA,11.82,21.94,13.1%,25-03-26,5.808,4.28%,3.59%,538.44
132.93,113019,玲珑转债,106.060,-0.60%,玲珑轮胎,15.75,0.96%,1.88,18.840,83.60,26.87%,AA+,13.19,24.49,10.6%,23-03-01,3.737,1.73%,1.09%,686.86
133.16,128022,众信转债,97.380,0.19%,众信旅游,5.68,-1.90%,2.06,7.920,71.72,35.78%,AA,5.54,10.30,13.9%,23-12-01,4.490,2.87%,2.42%,228.23
133.29,113508,新凤转债,96.770,-1.27%,新凤鸣,11.93,-2.61%,1.70,16.830,70.89,36.52%,AA,11.78,21.88,15.1%,24-04-25,4.890,3.25%,2.74%,676.13
134.56,113021,中信转债,103.170,0.24%,中信银行,5.85,0.00%,0.63,7.450,78.52,31.39%,AAA,-,9.69,14.0%,25-03-03,5.745,2.60%,1.99%,4362.21
134.84,123022,长信转债,100.800,-0.39%,长信科技,4.70,-3.49%,2.07,6.250,75.20,34.04%,AA,4.38,8.12,11.4%,25-03-18,5.786,2.40%,1.91%,985.76
135.1,128017,金禾转债,105.030,-1.10%,金禾实业,18.54,0.16%,2.53,22.960,80.75,30.07%,AA,16.07,29.85,5.8%,23-11-01,4.408,1.14%,0.70%,28.85
135.33100000000002,127011,中鼎转2,103.021,-0.51%,中鼎股份,9.18,-2.96%,1.29,11.790,77.86,32.31%,AA+,8.25,15.33,10.7%,25-03-08,5.759,2.08%,1.58%,611.05
135.58,128036,金农转债,135.300,-5.05%,金新农,12.98,-4.42%,4.01,9.620,134.93,0.28%,AA-,6.73,12.51,2.8%,24-03-09,4.762,-4.17%,-4.55%,24736.55
137.91,128020,水晶转债,95.610,-1.83%,水晶光电,10.75,-2.01%,2.36,16.000,67.19,42.30%,AA,11.20,20.80,12.7%,23-11-16,4.449,3.60%,3.09%,848.95
139.06,110045,海澜转债,99.300,-0.40%,海澜之家,8.54,-1.61%,2.73,12.020,71.05,39.76%,AA+,8.41,15.63,7.8%,24-07-13,5.107,2.41%,1.96%,608.30
140.22,128041,盛路转债,139.810,-6.35%,盛路通信,9.58,-5.05%,2.40,6.880,139.24,0.41%,AA,4.82,8.94,1.0%,24-07-16,5.115,-3.74%,-4.25%,2369.13
140.3,128030,天康转债,120.000,-3.59%,天康生物,8.13,-7.82%,2.53,8.150,99.75,20.30%,AA,5.71,10.60,8.1%,23-12-22,4.548,-1.38%,-1.88%,723.69
141.45499999999998,128051,光华转债,96.515,-0.81%,光华科技,11.34,-3.41%,3.31,17.030,66.59,44.94%,AA-,11.92,22.14,5.9%,24-12-14,5.529,3.46%,2.92%,55.57
142.03,113013,国君转债,108.190,0.29%,国泰君安,15.90,-0.50%,1.11,19.670,80.83,33.84%,AAA,-,25.57,4.9%,23-07-06,4.085,0.37%,-0.08%,2615.35
142.19,113518,顾家转债,105.300,-0.67%,顾家家居,28.13,-4.48%,3.36,36.570,76.92,36.89%,AA,29.26,47.54,6.5%,24-09-11,5.271,1.77%,1.24%,1378.74
142.26,128043,东音转债,140.320,8.37%,东音股份,15.32,6.83%,3.62,11.130,137.65,1.94%,AA-,7.79,14.47,6.5%,24-08-02,5.162,-3.77%,-4.27%,38920.93
143.23,113509,新泉转债,97.600,-0.14%,新泉股份,12.66,-2.69%,1.76,18.890,67.02,45.63%,AA,13.22,24.56,15.6%,24-06-03,4.997,2.62%,2.20%,19.09
143.44,132013,17宝武EB,99.600,0.01%,宝钢股份,6.30,-0.63%,0.78,9.050,69.61,43.84%,AAA,-,-,10.7%,20-11-24,1.471,3.30%,2.62%,4893.99
144.563,128029,太阳转债,101.143,-1.25%,太阳纸业,6.10,-2.09%,1.23,8.650,70.52,43.42%,AA+,6.05,11.24,7.6%,22-12-22,3.548,1.97%,1.52%,251.93
145.55,128014,永东转债,95.220,-1.19%,永东股份,8.57,-1.15%,1.91,13.530,63.34,50.33%,AA-,9.47,17.59,11.8%,23-04-17,3.866,4.45%,3.82%,126.08
145.67,110038,济川转债,103.850,-0.57%,济川药业,28.42,-4.37%,3.88,38.810,73.23,41.82%,AA,19.41,48.51,2.7%,22-11-12,3.438,1.38%,0.89%,962.29
146.06,128046,利尔转债,100.100,0.00%,利尔化学,12.77,-2.74%,2.14,18.620,68.58,45.96%,AA,13.03,24.21,12.7%,24-10-17,5.370,2.38%,1.91%,287.36
147.72,113009,广汽转债,104.020,0.03%,广汽集团,10.67,0.85%,1.37,14.740,72.39,43.70%,AAA,10.32,19.16,2.3%,22-01-22,2.633,1.82%,1.17%,1452.30
148.04,113022,浙商转债,101.080,0.28%,浙商证券,8.57,-2.06%,1.97,12.460,68.78,46.96%,AAA,-,16.20,12.3%,25-03-12,5.770,1.50%,1.17%,4530.54
148.2,123003,蓝思转债,96.200,-0.31%,蓝思科技,6.62,-3.07%,1.53,10.460,63.29,52.00%,AA+,7.32,13.60,18.5%,23-12-08,4.510,3.14%,2.69%,908.34
149.59,110034,九州转债,100.900,-0.40%,九州通,12.50,-2.11%,1.32,18.420,67.86,48.69%,AA+,12.89,23.95,6.4%,22-01-15,2.614,3.54%,2.78%,2216.79
155.97,128052,凯龙转债,158.850,-0.23%,凯龙股份,11.40,-1.38%,2.50,6.970,163.56,-2.88%,AA,4.88,9.06,8.6%,24-12-21,5.548,-5.69%,-6.13%,31084.15
159.57,128037,岩土转债,93.090,-0.86%,中化岩土,4.49,-4.67%,2.08,8.030,55.92,66.48%,AA,5.62,10.44,7.4%,24-03-15,4.778,4.18%,3.66%,679.75
160.29000000000002,110044,广电转债,162.960,-18.24%,广电网络,11.57,-9.96%,2.20,6.910,167.44,-2.67%,AA,4.84,8.98,1.0%,24-06-27,5.063,-7.06%,-7.47%,131901.47
161.84,128035,大族转债,101.600,-0.52%,大族激光,33.16,-3.04%,4.15,52.300,63.40,60.24%,AA+,36.61,67.99,6.5%,24-02-06,4.674,1.42%,1.07%,723.95
165.15,128032,双环转债,93.400,-0.43%,双环传动,5.40,-2.17%,1.02,9.930,54.38,71.75%,AA,6.95,12.91,27.0%,23-12-25,4.556,3.90%,3.43%,365.44
165.18,110030,格力转债,104.170,-0.13%,格力地产,4.49,-0.22%,1.16,6.940,64.70,61.01%,AA,4.86,9.02,4.6%,19-12-25,0.553,3.18%,1.09%,67.72
174.06,132004,15国盛EB,98.200,-0.01%,上海建工,3.64,-0.55%,1.00,6.480,56.17,75.86%,AAA,4.54,8.42,15.4%,21-11-05,2.419,2.99%,2.50%,1035.56
175.469,128028,赣锋转债,96.749,-0.30%,赣锋锂业,23.05,-2.33%,3.72,42.580,54.13,78.72%,AA,29.81,55.35,3.1%,23-12-21,4.545,2.87%,2.45%,96.38
182.18,113014,林洋转债,95.200,-0.94%,林洋能源,4.46,-1.11%,0.78,8.760,50.91,86.98%,AA,6.13,11.39,38.1%,23-10-27,4.395,3.59%,3.10%,1789.86
184.63,113502,嘉澳转债,94.200,-1.25%,嘉澳环保,22.28,-2.45%,2.17,45.040,49.47,90.43%,AA-,31.53,58.55,11.3%,23-11-09,4.430,4.27%,3.70%,111.14
191.23000000000002,128023,亚太转债,91.010,-1.06%,亚太股份,4.70,-2.08%,1.25,10.340,45.45,100.22%,AA,7.24,13.44,28.8%,23-12-08,4.510,4.98%,4.42%,238.55
192.32,132007,16凤凰EB,98.220,0.00%,凤凰传媒,7.82,-1.39%,1.46,15.360,50.91,94.10%,AAA,12.29,19.97,25.1%,21-10-31,2.405,3.81%,3.15%,1077.56
192.39,127004,模塑转债,92.100,-0.99%,模塑科技,3.55,-4.05%,1.24,7.720,45.98,100.29%,AA,5.40,10.04,27.7%,23-06-02,3.992,5.66%,4.97%,773.67
204.19,132008,17山高EB,99.700,-0.03%,山东高速,4.70,-1.26%,0.81,9.620,48.86,104.49%,AAA,6.73,12.51,11.1%,22-04-24,2.885,3.81%,3.07%,1050.85
213.356,128010,顺昌转债,99.996,-0.24%,澳洋顺昌,4.34,-3.13%,2.08,9.260,46.87,113.36%,AA,6.48,12.04,12.0%,22-01-22,2.633,4.19%,3.36%,384.41
215.20999999999998,110031,航信转债,107.100,-0.22%,航天信息,21.81,-2.89%,3.49,42.380,51.46,108.11%,AAA,29.67,55.09,5.9%,21-06-12,2.019,1.36%,0.42%,320.55
216.3,127008,特发转债,215.190,-5.66%,特发信息,11.94,-6.28%,3.82,5.610,212.83,1.11%,AA,3.93,7.29,1.9%,23-11-16,4.449,-13.89%,-14.27%,34099.05
248.76,128012,辉丰转债,96.040,-1.12%,辉丰股份,2.93,0.00%,1.39,7.710,38.00,152.72%,A+,5.40,10.02,19.1%,22-04-21,2.877,3.40%,3.00%,850.80
253.37,132011,17浙报EB,93.650,0.00%,浙数文化,8.87,-2.31%,1.45,24.390,36.37,159.72%,AAA,17.07,31.71,20.8%,22-08-17,3.200,4.05%,3.60%,0.00
307.06,128013,洪涛转债,96.000,-0.85%,洪涛股份,3.08,-2.22%,1.19,9.980,30.86,211.06%,AA,6.99,12.97,31.2%,22-07-29,3.148,5.23%,4.46%,805.00
