得分,代码,转债名称,现价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,评价,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,到期税前收益,到期税后收益,成交额(万元)
93.4,123026,中环转债,100.000,0.00%,中环环保,13.18,4.19%,2.77,12.310,107.07,-6.60%,AA-,8.62,16.00,13.8%,24-06-10,5.003,2.17%,1.74%,0.00
94.77,113537,文灿转债,100.000,0.00%,文灿股份,21.03,2.14%,2.23,19.930,105.52,-5.23%,AA-,13.95,25.91,17.3%,25-06-09,6.000,3.45%,2.79%,0.00
98.31,123027,蓝晓转债,100.000,0.00%,蓝晓科技,30.10,2.03%,6.39,29.590,101.72,-1.69%,A+,20.71,38.47,5.5%,25-06-10,6.000,3.16%,2.55%,0.00
99.9,113027,华钰转债,100.000,0.00%,华钰矿业,10.18,3.46%,2.67,10.170,100.10,-0.10%,AA,7.12,13.22,12.0%,25-06-13,6.000,2.43%,1.96%,0.00
100.97,113536,三星转债,100.000,0.00%,三星新材,19.56,2.79%,3.14,19.750,99.04,0.97%,AA,13.82,25.68,11.0%,25-05-30,5.973,2.44%,1.97%,0.00
103.132,128060,中装转债,103.402,2.98%,中装建设,6.47,4.69%,1.76,6.240,103.69,-0.27%,AA,4.37,8.11,13.5%,25-03-26,5.795,1.62%,1.19%,1980.30
103.65,128068,和而转债,100.000,0.00%,和而泰,8.77,3.79%,4.52,9.090,96.48,3.65%,AA-,6.36,11.82,7.3%,25-06-04,5.986,2.15%,1.73%,0.00
103.97000000000001,113535,大业转债,102.790,2.05%,大业股份,12.76,3.24%,2.44,12.560,101.59,1.18%,AA,8.79,16.33,13.5%,24-05-08,4.912,2.06%,1.56%,1870.43
104.16999999999999,132018,G三峡EB1,99.820,0.04%,长江电力,18.00,0.28%,2.73,18.800,95.74,4.35%,AAA,13.16,22.56,5.1%,24-04-09,4.833,2.13%,1.72%,37198.94
105.62,113505,杭电转债,104.200,1.78%,杭电股份,7.49,5.49%,2.29,7.290,102.74,1.42%,AA,5.10,9.48,15.1%,24-03-05,4.737,1.72%,1.22%,3740.83
106.829,123018,溢利转债,108.609,0.92%,溢多利,9.30,1.75%,1.78,8.410,110.58,-1.78%,AA-,5.89,10.93,17.6%,24-12-20,5.532,1.11%,0.61%,652.01
107.27,128057,博彦转债,105.200,2.53%,博彦科技,9.08,2.83%,1.87,8.810,103.06,2.07%,AA-,6.17,11.45,12.1%,25-03-05,5.737,2.00%,1.45%,933.24
107.7,128053,尚荣转债,105.300,1.64%,尚荣医疗,5.08,3.67%,1.52,4.940,102.83,2.40%,AA,3.46,6.42,20.9%,25-02-14,5.685,1.64%,1.15%,708.69
107.94,113025,明泰转债,98.340,1.24%,明泰铝业,10.31,2.08%,1.00,11.490,89.73,9.60%,AA,8.04,14.94,30.2%,25-04-09,5.833,2.85%,2.35%,2950.79
108.45,113526,联泰转债,110.410,2.98%,联泰环保,9.82,4.36%,2.48,8.720,112.61,-1.96%,AA,6.10,11.34,13.3%,25-01-22,5.622,0.11%,-0.25%,156.57
108.63000000000001,128049,华源转债,102.840,1.81%,华源控股,7.31,2.81%,1.53,7.520,97.21,5.79%,AA-,5.26,9.78,17.6%,24-11-27,5.468,2.23%,1.70%,422.82
108.67,113521,科森转债,100.150,1.66%,科森科技,8.26,4.56%,1.82,8.950,92.29,8.52%,AA,6.26,11.63,17.9%,24-11-16,5.438,2.75%,2.21%,223.54
108.89,128034,江银转债,105.000,2.14%,江阴银行,4.73,2.83%,0.94,4.680,101.07,3.89%,AA+,-,6.08,17.1%,24-01-26,4.630,0.94%,0.55%,1365.30
109.08,128062,亚药转债,100.220,0.82%,亚太药业,14.96,1.91%,3.12,16.250,92.06,8.86%,AA,11.38,21.12,12.0%,25-04-02,5.814,3.22%,2.60%,6322.90
109.14,113527,维格转债,98.190,1.15%,维格娜丝,9.31,2.99%,0.91,10.520,88.50,10.95%,AA,7.36,13.68,31.8%,25-01-23,5.625,3.82%,3.15%,500.73
109.5,113523,伟明转债,111.980,2.92%,伟明环保,20.06,3.99%,5.62,17.470,114.83,-2.48%,AA,12.23,22.71,3.6%,24-12-10,5.504,0.54%,0.04%,1775.07
109.58699999999999,123012,万顺转债,104.597,2.18%,万顺新材,5.34,3.09%,1.12,5.360,99.63,4.99%,AA-,3.75,6.97,4.8%,24-07-20,5.112,1.25%,0.83%,80.69
109.64,128063,未来转债,105.000,1.41%,德尔未来,8.71,2.59%,3.46,8.680,100.35,4.64%,AA-,6.08,11.28,10.8%,25-04-03,5.816,3.66%,2.81%,2495.40
109.64,128048,张行转债,103.330,2.23%,张家港行,5.89,4.62%,1.04,6.060,97.19,6.31%,AA+,-,7.88,23.5%,24-11-12,5.427,1.92%,1.43%,3283.33
109.996,123015,蓝盾转债,105.716,1.04%,蓝盾股份,5.90,0.85%,1.55,5.820,101.37,4.28%,AA,4.07,7.57,1.4%,24-08-13,5.178,1.38%,0.90%,508.74
110.21,127007,湖广转债,109.000,2.11%,湖北广电,8.53,3.39%,0.86,7.920,107.70,1.21%,AA+,5.54,10.30,22.7%,24-06-28,5.052,0.84%,0.35%,895.70
110.233,128056,今飞转债,98.613,0.89%,今飞凯达,5.99,2.04%,2.13,6.780,88.35,11.62%,A+,4.75,8.81,16.3%,25-02-28,5.723,3.82%,3.14%,186.99
110.29,123023,迪森转债,98.290,1.43%,迪森股份,6.31,4.47%,1.45,7.190,87.76,12.00%,AA,5.03,9.35,26.2%,25-03-20,5.778,2.86%,2.36%,306.60
110.824,128025,特一转债,105.854,1.69%,特一药业,15.58,2.23%,3.07,15.450,100.84,4.97%,AA-,10.81,20.09,10.8%,23-12-06,4.490,0.94%,0.51%,63.98
110.87,113514,威帝转债,100.200,1.30%,威帝股份,5.36,2.49%,2.91,5.920,90.54,10.67%,A+,4.14,7.70,8.6%,23-07-20,4.110,2.68%,2.14%,254.68
110.971,128065,雅化转债,94.741,0.88%,雅化集团,7.32,3.24%,2.70,8.980,81.51,16.23%,AA,6.29,11.67,11.4%,25-04-16,5.852,2.85%,2.47%,3534.87
111.3,127003,海印转债,102.600,2.40%,海印股份,2.86,3.62%,1.81,3.030,94.39,8.70%,AA,2.12,3.94,17.8%,22-06-08,2.995,3.42%,2.58%,2066.46
111.59,128066,亚泰转债,97.300,0.93%,亚泰国际,14.89,3.40%,1.89,17.490,85.13,14.29%,AA-,12.24,22.74,17.9%,25-04-17,5.855,3.42%,2.85%,267.72
111.9,113519,长久转债,103.620,1.70%,长久物流,11.34,4.32%,2.36,11.850,95.70,8.28%,AA,8.29,15.40,11.0%,24-11-07,5.414,2.91%,2.22%,1510.41
111.908,128026,众兴转债,94.848,0.21%,众兴菌业,9.35,1.74%,1.27,11.540,81.02,17.06%,AA-,8.08,15.00,26.8%,23-12-13,4.510,3.61%,3.13%,3301.27
112.72,113516,苏农转债,105.000,1.95%,苏农银行,6.18,2.83%,0.91,6.340,97.48,7.72%,AA+,-,8.24,11.6%,24-08-01,5.145,1.93%,1.37%,7081.38
112.76,110047,山鹰转债,107.950,2.18%,山鹰纸业,3.44,2.08%,1.16,3.340,102.99,4.81%,AA+,2.34,4.34,14.6%,24-11-21,5.452,1.76%,1.15%,1912.69
113.03,128050,钧达转债,99.770,1.24%,钧达股份,19.15,2.74%,2.62,21.740,88.09,13.26%,AA-,15.22,28.26,13.7%,24-12-10,5.504,4.14%,3.36%,628.75
113.03,113503,泰晶转债,104.730,-2.88%,泰晶科技,17.31,3.04%,4.36,17.900,96.70,8.30%,AA,12.53,23.27,7.8%,23-12-15,4.515,1.71%,1.18%,18721.90
113.28,128039,三力转债,108.880,3.11%,三力士,6.08,4.29%,2.13,5.830,104.29,4.40%,AA-,4.08,7.58,6.5%,24-06-07,4.995,0.26%,-0.12%,1242.23
113.33,128055,长青转2,110.950,1.83%,长青股份,8.03,2.69%,1.27,7.410,108.37,2.38%,AA,5.19,9.63,21.1%,25-02-27,5.721,0.72%,0.23%,1397.68
113.91999999999999,113528,长城转债,97.960,1.36%,长城科技,20.30,3.15%,1.98,24.030,84.48,15.96%,AA-,16.82,31.24,17.5%,25-03-01,5.726,3.40%,2.81%,272.28
113.97999999999999,110052,贵广转债,113.710,3.84%,贵广网络,9.22,3.83%,2.05,8.130,113.41,0.27%,AA+,5.69,10.57,16.6%,25-03-05,5.737,0.81%,0.23%,3095.52
114.35000000000001,113017,吉视转债,99.200,0.44%,吉视传媒,2.55,2.41%,1.14,2.960,86.15,15.15%,AA+,2.07,3.85,19.7%,23-12-27,4.548,2.40%,1.97%,3838.61
114.38,127012,招路转债,101.000,0.78%,招商公路,8.32,2.09%,1.08,9.340,89.08,13.38%,AAA,6.54,12.14,9.7%,25-03-21,5.781,1.23%,0.95%,5797.26
